indice_tiempo,tipo_cambio_bna_vendedor,tipo_cambio_a3500,tipo_cambio_mae,volumen_mae,tipo_cambio_implicito_en_adrs,futuro_rofex_usd1m,interes_abierto_1m,futuro_rofex_usd2m,interes_abierto_2m,futuro_rofex_usd3m,interes_abierto_3m,futuro_rofex_usd4m,interes_abierto_4m,futuro_rofex_usd5m,interes_abierto_5m,futuro_rofex_usd6m,interes_abierto_6m
2022-01-01,107.75,102.75,102.72,,205.84826132771337,102.75,2081017.0,106.71,2231270.0,111.25,1145584.0,116.6,591470.0,120.81,136285.0,125.5,68890.0
2022-01-02,107.75,102.75,102.72,,205.84826132771337,102.75,2081017.0,106.71,2231270.0,111.25,1145584.0,116.6,591470.0,120.81,136285.0,125.5,68890.0
2022-01-03,108.0,103.04,103.0,111690.0,207.47422680412373,106.45,2274802.0,110.84,1156367.0,116.2,597466.0,120.41,135605.0,124.97,68892.0,129.1,53980.0
2022-01-04,108.0,103.08,103.09,85900.0,204.82866043613706,106.08,2298522.0,110.25,1164638.0,115.71,621371.0,119.95,144336.0,124.6,73911.0,128.9,54080.0
2022-01-05,108.0,103.15,103.14,154700.0,210.40305010893246,106.17,2318453.0,110.45,1175854.0,116.14,630069.0,120.44,157818.0,125.45,73911.0,129.55,53380.0
2022-01-06,108.25,103.23,103.24,84660.0,210.4638619201726,106.14,2347333.0,110.61,1165340.0,116.55,629269.0,121.14,156518.0,126.05,75911.0,130.8,54017.0
2022-01-07,108.5,103.29,103.28,246180.0,211.0874200426439,106.01,2356745.0,110.29,1161861.0,116.19,642147.0,120.74,153597.0,125.88,78614.0,130.4,55117.0
2022-01-08,108.5,103.29,103.28,,211.0874200426439,106.01,2356745.0,110.29,1161861.0,116.19,642147.0,120.74,153597.0,125.88,78614.0,130.4,55117.0
2022-01-09,108.5,103.29,103.28,,211.0874200426439,106.01,2356745.0,110.29,1161861.0,116.19,642147.0,120.74,153597.0,125.88,78614.0,130.4,55117.0
2022-01-10,108.5,103.5083,103.51,149200.0,212.29773462783172,105.88,2368306.0,110.18,1162034.0,115.95,636050.0,120.51,165156.0,125.65,78616.0,130.25,57148.0
2022-01-11,108.5,103.5767,103.56,76000.0,210.41009463722398,105.73,2361024.0,109.83,1195461.0,115.45,626311.0,120.1,161770.0,125.2,76060.0,129.65,63164.0
2022-01-12,108.75,103.6417,103.68,111300.0,208.67293625914314,105.68,2377349.0,109.65,1194453.0,115.3,622891.0,119.9,162160.0,124.95,76080.0,129.6,63169.0
2022-01-13,108.75,103.7433,103.77,124900.0,208.66596638655463,105.53,2352736.0,109.52,1196243.0,115.01,645640.0,119.65,162294.0,124.6,91321.0,129.25,63461.0
2022-01-14,108.75,103.8467,103.84,148160.0,208.3245521601686,105.42,2315282.0,109.18,1224259.0,114.56,661600.0,119.11,167866.0,124.25,91328.0,128.7,63834.0
2022-01-15,108.75,103.8467,103.84,,208.3245521601686,105.42,2315282.0,109.18,1224259.0,114.56,661600.0,119.11,167866.0,124.25,91328.0,128.7,63834.0
2022-01-16,108.75,103.8467,103.84,,208.3245521601686,105.42,2315282.0,109.18,1224259.0,114.56,661600.0,119.11,167866.0,124.25,91328.0,128.7,63834.0
